"GEO_ID","id",
"NAME","Geographic Area Name",
"B01001A_001E","Estimate!!Total",
"B01001A_001M","Margin of Error!!Total",
"B01001A_002E","Estimate!!Total!!Male",
"B01001A_002M","Margin of Error!!Total!!Male",
"B01001A_003E","Estimate!!Total!!Male!!Under 5 years",
"B01001A_003M","Margin of Error!!Total!!Male!!Under 5 years",
"B01001A_004E","Estimate!!Total!!Male!!5 to 9 years",
"B01001A_004M","Margin of Error!!Total!!Male!!5 to 9 years",
"B01001A_005E","Estimate!!Total!!Male!!10 to 14 years",
"B01001A_005M","Margin of Error!!Total!!Male!!10 to 14 years",
"B01001A_006E","Estimate!!Total!!Male!!15 to 17 years",
"B01001A_006M","Margin of Error!!Total!!Male!!15 to 17 years",
"B01001A_007E","Estimate!!Total!!Male!!18 and 19 years",
"B01001A_007M","Margin of Error!!Total!!Male!!18 and 19 years",
"B01001A_008E","Estimate!!Total!!Male!!20 to 24 years",
"B01001A_008M","Margin of Error!!Total!!Male!!20 to 24 years",
"B01001A_009E","Estimate!!Total!!Male!!25 to 29 years",
"B01001A_009M","Margin of Error!!Total!!Male!!25 to 29 years",
"B01001A_010E","Estimate!!Total!!Male!!30 to 34 years",
"B01001A_010M","Margin of Error!!Total!!Male!!30 to 34 years",
"B01001A_011E","Estimate!!Total!!Male!!35 to 44 years",
"B01001A_011M","Margin of Error!!Total!!Male!!35 to 44 years",
"B01001A_012E","Estimate!!Total!!Male!!45 to 54 years",
"B01001A_012M","Margin of Error!!Total!!Male!!45 to 54 years",
"B01001A_013E","Estimate!!Total!!Male!!55 to 64 years",
"B01001A_013M","Margin of Error!!Total!!Male!!55 to 64 years",
"B01001A_014E","Estimate!!Total!!Male!!65 to 74 years",
"B01001A_014M","Margin of Error!!Total!!Male!!65 to 74 years",
"B01001A_015E","Estimate!!Total!!Male!!75 to 84 years",
"B01001A_015M","Margin of Error!!Total!!Male!!75 to 84 years",
"B01001A_016E","Estimate!!Total!!Male!!85 years and over",
"B01001A_016M","Margin of Error!!Total!!Male!!85 years and over",
"B01001A_017E","Estimate!!Total!!Female",
"B01001A_017M","Margin of Error!!Total!!Female",
"B01001A_018E","Estimate!!Total!!Female!!Under 5 years",
"B01001A_018M","Margin of Error!!Total!!Female!!Under 5 years",
"B01001A_019E","Estimate!!Total!!Female!!5 to 9 years",
"B01001A_019M","Margin of Error!!Total!!Female!!5 to 9 years",
"B01001A_020E","Estimate!!Total!!Female!!10 to 14 years",
"B01001A_020M","Margin of Error!!Total!!Female!!10 to 14 years",
"B01001A_021E","Estimate!!Total!!Female!!15 to 17 years",
"B01001A_021M","Margin of Error!!Total!!Female!!15 to 17 years",
"B01001A_022E","Estimate!!Total!!Female!!18 and 19 years",
"B01001A_022M","Margin of Error!!Total!!Female!!18 and 19 years",
"B01001A_023E","Estimate!!Total!!Female!!20 to 24 years",
"B01001A_023M","Margin of Error!!Total!!Female!!20 to 24 years",
"B01001A_024E","Estimate!!Total!!Female!!25 to 29 years",
"B01001A_024M","Margin of Error!!Total!!Female!!25 to 29 years",
"B01001A_025E","Estimate!!Total!!Female!!30 to 34 years",
"B01001A_025M","Margin of Error!!Total!!Female!!30 to 34 years",
"B01001A_026E","Estimate!!Total!!Female!!35 to 44 years",
"B01001A_026M","Margin of Error!!Total!!Female!!35 to 44 years",
"B01001A_027E","Estimate!!Total!!Female!!45 to 54 years",
"B01001A_027M","Margin of Error!!Total!!Female!!45 to 54 years",
"B01001A_028E","Estimate!!Total!!Female!!55 to 64 years",
"B01001A_028M","Margin of Error!!Total!!Female!!55 to 64 years",
"B01001A_029E","Estimate!!Total!!Female!!65 to 74 years",
"B01001A_029M","Margin of Error!!Total!!Female!!65 to 74 years",
"B01001A_030E","Estimate!!Total!!Female!!75 to 84 years",
"B01001A_030M","Margin of Error!!Total!!Female!!75 to 84 years",
"B01001A_031E","Estimate!!Total!!Female!!85 years and over",
"B01001A_031M","Margin of Error!!Total!!Female!!85 years and over",
